Canal,Año,Mes,Share Niños 4-8 años,Rating en Miles Niños 4-8 años,Share Amas de casa 18+,Rating en Miles Amas de casa 18+,Share Personas 4+,Rating en Miles Personas 4+,Fecha
Comedy Central,2019,1,0.21129032258064515,15.48,0.1132258064516129,45.5,0.14096774193548386,146.65,2019-01-01
Comedy Central,2019,2,0.060000000000000005,3.76,0.07250000000000001,28.83,0.10285714285714286,99.14,2019-02-01
Comedy Central,2019,3,0.06483870967741936,4.0600000000000005,0.13193548387096773,58.269999999999996,0.13129032258064516,142.07,2019-03-01
Comedy Central,2019,4,0.026000000000000002,1.72,0.06566666666666666,27.11,0.10600000000000001,110.55,2019-04-01
Comedy Central,2019,5,0.02870967741935484,1.81,0.07225806451612904,30.720000000000002,0.08129032258064516,86.34,2019-05-01
Comedy Central,2019,6,0.030333333333333334,2.09,0.12400000000000001,50.68,0.11133333333333333,115.96,2019-06-01
Comedy Central,2019,7,0.08225806451612902,5.09,0.07645161290322582,33.17,0.10967741935483871,117.8,2019-07-01
Comedy Central,2019,8,0.023225806451612905,1.59,0.05709677419354839,22.9,0.09774193548387096,100.4,2019-08-01
Comedy Central,2019,9,0.022333333333333334,1.33,0.059000000000000004,23.65,0.11566666666666667,114.23,2019-09-01
Comedy Central,2019,10,0.02,1.26,0.046129032258064515,17.66,0.1406451612903226,140.63,2019-10-01
Comedy Central,2019,11,0.035666666666666666,2.23,0.091,35.75,0.15766666666666668,157.75,2019-11-01
Comedy Central,2019,12,0.02903225806451613,1.96,0.10774193548387097,39.28,0.18161290322580645,167.12,2019-12-01
Discovery Channel,2018,1,0.46161290322580645,43.24,0.9761290322580646,425.09999999999997,0.8825806451612903,1001.65,2018-01-01
Discovery Channel,2018,2,0.4307142857142857,31.2,0.965,385.45,0.9117857142857143,910.77,2018-02-01
Discovery Channel,2018,3,0.3790322580645161,33.5,0.8980645161290323,389.39,0.932258064516129,1043.8799999999999,2018-03-01
Discovery Channel,2018,4,0.4196666666666667,32.99,0.7989999999999999,342.91,0.868,932.38,2018-04-01
Discovery Channel,2018,5,0.3987096774193548,35.05,0.7316129032258064,324.68,0.8006451612903226,899.64,2018-05-01
Discovery Channel,2018,6,0.369,30.98,0.6893333333333334,304.74,0.7170000000000001,816.9,2018-06-01
Discovery Channel,2018,7,0.4087096774193548,30.330000000000002,0.77,335.96,0.7393548387096773,819.02,2018-07-01
Discovery Channel,2018,8,0.362258064516129,28.38,0.7325806451612904,313.72,0.7141935483870968,757.31,2018-08-01
Discovery Channel,2018,9,0.39266666666666666,28.220000000000002,0.7546666666666667,310.92,0.7573333333333333,782.91,2018-09-01
Discovery Channel,2018,10,0.32935483870967747,24.44,0.7883870967741936,328.7,0.767741935483871,799.47,2018-10-01
Discovery Channel,2018,11,0.4356666666666667,34.55,0.672,263.59000000000003,0.743,745.3100000000001,2018-11-01
Discovery Channel,2018,12,0.3064516129032258,24.330000000000002,0.7632258064516129,253.57999999999998,0.7967741935483871,700.38,2018-12-01
Discovery Channel,2019,1,0.39,29.66,0.817741935483871,338.37,0.8341935483870968,869.01,2019-01-01
Discovery Channel,2019,2,0.2975,18.52,0.7375,290.67,0.7210714285714286,699.92,2019-02-01
Discovery Channel,2019,3,0.4029032258064516,26.78,0.8196774193548387,358.2,0.8790322580645161,950.05,2019-03-01
Discovery Channel,2019,4,0.2776666666666667,18.580000000000002,0.7826666666666667,323.55,0.874,905.48,2019-04-01
Discovery Channel,2019,5,0.4496774193548387,29.8,0.8306451612903226,354.65,0.8512903225806452,905.03,2019-05-01
Discovery Channel,2019,6,0.5733333333333334,39.769999999999996,0.8673333333333333,354.79,0.9286666666666666,990.1,2019-06-01
Discovery Channel,2019,7,0.6258064516129032,43.07,0.9261290322580645,395.51,1.0054838709677418,1078.3899999999999,2019-07-01
Discovery Channel,2019,8,0.5106451612903226,35.21,1.0203225806451612,417.55,1.0512903225806454,1090.01,2019-08-01
Discovery Channel,2019,9,0.47100000000000003,29.78,0.9136666666666666,356.73,0.8736666666666667,855.12,2019-09-01
Discovery Channel,2019,10,0.46064516129032257,29.080000000000002,0.9480645161290323,381.83,0.9661290322580645,968.1,2019-10-01
Discovery Channel,2019,11,0.557,37.88,0.9546666666666667,376.49,1.005,994.64,2019-11-01
Discovery Channel,2019,12,0.6048387096774194,42.33,0.9261290322580645,331.39,0.9364516129032259,865.65,2019-12-01
Discovery Kids,2018,1,10.971935483870968,1014.02,1.614516129032258,714.34,2.4551612903225806,2804.79,2018-01-01
Discovery Kids,2018,2,10.300357142857143,746.11,1.3910714285714287,557.26,2.152857142857143,2141.81,2018-02-01
Discovery Kids,2018,3,9.711290322580645,803.54,1.2364516129032257,537.27,1.9538709677419355,2158.7599999999998,2018-03-01
Discovery Kids,2018,4,10.283333333333333,761.31,1.1323333333333332,487.51,1.7646666666666666,1885.31,2018-04-01
Discovery Kids,2018,5,7.812903225806451,673.95,0.984516129032258,437.85,1.6148387096774195,1798.0,2018-05-01
Discovery Kids,2018,6,7.191,603.71,1.0013333333333334,444.75,1.591,1825.03,2018-06-01
Discovery Kids,2018,7,7.152258064516129,536.88,0.9916129032258064,432.58,1.5303225806451612,1678.9,2018-07-01
Discovery Kids,2018,8,6.831935483870968,526.61,1.1906451612903226,515.88,1.6951612903225806,1795.4,2018-08-01
Discovery Kids,2018,9,6.708333333333333,467.33,1.1443333333333332,476.29,1.633,1684.25,2018-09-01
Discovery Kids,2018,10,6.798064516129033,499.95,1.0548387096774194,443.88,1.6161290322580646,1686.53,2018-10-01
Discovery Kids,2018,11,8.150666666666668,651.54,1.2703333333333333,498.43,1.9729999999999999,1972.81,2018-11-01
Discovery Kids,2018,12,7.700645161290322,572.63,1.1287096774193548,392.43,1.9629032258064516,1751.94,2018-12-01
Discovery Kids,2019,1,9.523225806451611,709.79,0.922258064516129,388.25,1.7629032258064516,1847.94,2019-01-01
Discovery Kids,2019,2,10.119642857142859,617.32,0.7946428571428571,314.67,1.582857142857143,1532.58,2019-02-01
Discovery Kids,2019,3,8.175483870967742,523.48,0.7303225806451613,318.66,1.3632258064516127,1464.15,2019-03-01
Discovery Kids,2019,4,7.574666666666667,465.18,0.7959999999999999,332.29,1.4013333333333333,1450.79,2019-04-01
Discovery Kids,2019,5,7.676129032258065,496.02,1.1761290322580646,502.48,1.6187096774193548,1711.86,2019-05-01
Discovery Kids,2019,6,7.522666666666667,513.05,1.236,505.41,1.6909999999999998,1795.69,2019-06-01
Discovery Kids,2019,7,8.638387096774194,575.44,1.2325806451612904,531.88,1.8341935483870968,1964.39,2019-07-01
Discovery Kids,2019,8,9.884516129032258,644.4399999999999,0.8035483870967742,332.0,1.5874193548387097,1635.54,2019-08-01
Discovery Kids,2019,9,8.639999999999999,538.9,1.0383333333333333,410.76,1.701,1664.27,2019-09-01
Discovery Kids,2019,10,7.948387096774193,503.17,1.2738709677419355,520.66,1.835483870967742,1837.42,2019-10-01
Discovery Kids,2019,11,9.199333333333334,628.66,1.399,559.36,2.0343333333333335,2009.6,2019-11-01
Discovery Kids,2019,12,9.221612903225807,621.57,1.5074193548387098,541.56,2.1406451612903226,1975.93,2019-12-01
Disney Channel,2018,1,5.436129032258065,504.77,1.127741935483871,495.21,2.116774193548387,2425.68,2018-01-01
Disney Channel,2018,2,5.2196428571428575,376.78000000000003,1.0992857142857144,438.11,1.8114285714285714,1816.4,2018-02-01
Disney Channel,2018,3,3.997741935483871,338.54,0.9867741935483871,421.81,1.6696774193548387,1874.44,2018-03-01
Disney Channel,2018,4,4.714666666666667,363.77,1.1099999999999999,475.85,1.8516666666666666,1988.44,2018-04-01
